Membership No  Date Joined  Active  
    80397      2019-10-6    no    
    91399      2015-7-2     no    
    85822      2020-9-10    no    
    51959      2020-2-3     no    
    25472      2015-11-2    no    
    68582      2017-11-25   no    
    97763      2019-8-20    no    
    80085      2017-4-4     no    
    53307      2016-1-16    no    
    21771      2015-10-15   no    
    53943      2015-1-9     no    
    48192      2015-5-19    no    
    72669      2020-9-1     no    
    91399      2018-2-8     no    
