Membership No  Date Joined  Active  
    11248      2016-12-15   no    
    54711      2017-3-6     no    
    60028      2019-11-1    no    
    68587      2015-10-12   no    
    50173      2019-9-18    no    
    58305      2015-6-22    no    
    54725      2016-10-12   no    
    20938      2020-2-18    no    
    72008      2020-1-13    no    
    49979      2019-2-18    no    
    21728      2017-8-1     no    
    61648      2016-7-16    no    
    31743      2017-5-8     no    
    36092      2015-5-17    no    
    57906      2019-4-24    no    
